school,close_contact,positive_case,suspected_case,total,date,cluster
Alcova ES,29.0,3.0,9.0,41,11/10/2020,Dacula
Alford ES,2.0,0.0,2.0,4,11/10/2020,Discovery
Anderson-Livsey ES,0.0,0.0,0.0,0,11/10/2020,Shiloh
Annistown ES,1.0,0.0,0.0,1,11/10/2020,Shiloh
Arcado ES,10.0,0.0,1.0,11,11/10/2020,Parkview
Archer HS,31.0,1.0,1.0,33,11/10/2020,Archer
Baggett ES,13.0,0.0,2.0,15,11/10/2020,Discovery
Baldwin ES,1.0,0.0,0.0,1,11/10/2020,Norcross
Bay Creek MS,3.0,0.0,0.0,3,11/10/2020,Grayson
Beaver Ridge ES,1.0,0.0,0.0,1,11/10/2020,Norcross
Benefield ES,18.0,1.0,1.0,20,11/10/2020,Discovery
Berkeley Lake ES,0.0,0.0,0.0,0,11/10/2020,Duluth
Berkmar HS,24.0,1.0,0.0,25,11/10/2020,Berkmar
Berkmar MS,3.0,0.0,0.0,3,11/10/2020,Berkmar
Bethesda ES,22.0,0.0,2.0,24,11/10/2020,Berkmar
Britt ES,0.0,0.0,0.0,0,11/10/2020,South Gwinnett
Brookwood ES,3.0,0.0,0.0,3,11/10/2020,Brookwood
Brookwood HS,23.0,1.0,0.0,24,11/10/2020,Brookwood
Buice Center,1.0,1.0,0.0,2,11/10/2020,Other
Burnette ES,1.0,1.0,1.0,3,11/10/2020,North Gwinnett
Camp Creek ES,29.0,1.0,0.0,30,11/10/2020,Parkview
Cedar Hill ES,3.0,0.0,2.0,5,11/10/2020,Discovery
Centerville ES,0.0,0.0,3.0,3,11/10/2020,Shiloh
Central Gwinnett HS,19.0,5.0,0.0,24,11/10/2020,Central Gwinnett
Chattahoochee ES,3.0,0.0,1.0,4,11/10/2020,Duluth
Chesney ES,1.0,1.0,0.0,2,11/10/2020,Duluth
Coleman MS,2.0,0.0,0.0,2,11/10/2020,Duluth
Collins Hill HS,9.0,2.0,0.0,11,11/10/2020,Collins Hill
Cooper ES,22.0,2.0,3.0,27,11/10/2020,Archer
Corley ES,0.0,1.0,0.0,1,11/10/2020,Berkmar
Couch MS,0.0,1.0,0.0,1,11/10/2020,Grayson
Craig ES,2.0,0.0,1.0,3,11/10/2020,Brookwood
Creekland MS,1.0,0.0,0.0,1,11/10/2020,Collins Hill
Crews MS,1.0,0.0,0.0,1,11/10/2020,Brookwood
Dacula ES,1.0,0.0,2.0,3,11/10/2020,Dacula
Dacula HS,34.0,2.0,3.0,39,11/10/2020,Dacula
Dacula MS,77.0,2.0,2.0,81,11/10/2020,Dacula
Discovery HS,3.0,0.0,1.0,4,11/10/2020,Discovery
Duluth HS,8.0,2.0,3.0,13,11/10/2020,Duluth
Duluth MS,5.0,1.0,3.0,9,11/10/2020,Duluth
Duncan Creek ES,3.0,0.0,1.0,4,11/10/2020,Mill Creek
Dyer ES,22.0,0.0,3.0,25,11/10/2020,Mountain View
Ferguson ES,2.0,0.0,0.0,2,11/10/2020,Meadowcreek
Five Forks MS,4.0,1.0,0.0,5,11/10/2020,Brookwood
Fort Daniel ES,1.0,0.0,1.0,2,11/10/2020,Mill Creek
Freeman's Mill ES,2.0,0.0,0.0,2,11/10/2020,Mountain View
GIVE East,0.0,0.0,1.0,1,11/10/2020,Other
GIVE West,1.0,0.0,1.0,2,11/10/2020,Other
Grace Snell MS,6.0,1.0,0.0,7,11/10/2020,South Gwinnett
Graves ES,14.0,2.0,0.0,16,11/10/2020,Meadowcreek
Grayson ES,0.0,1.0,0.0,1,11/10/2020,Grayson
Grayson HS,7.0,2.0,0.0,9,11/10/2020,Grayson
Gwin Oaks ES,2.0,0.0,1.0,3,11/10/2020,Brookwood
Gwinnett Online Campus,1.0,0.0,0.0,1,11/10/2020,Other
"Gwinnett School of Mathematics, Science, and Technology",0.0,0.0,2.0,2,11/10/2020,Discovery
Harbins ES,4.0,0.0,1.0,5,11/10/2020,Archer
Harmony ES,1.0,0.0,0.0,1,11/10/2020,Mill Creek
