School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,4,0,2,6
Alford ES,1,0,0,1
Arcado ES,1,0,0,1
Archer HS,14,2,1,17
Baggett ES,5,1,0,6
Bay Creek MS,1,1,0,2
Benefield ES,8,2,0,10
Berkeley Lake ES,6,1,0,7
Berkmar MS,3,1,2,6
Britt ES,1,0,0,1
Brookwood ES,1,1,0,2
Brookwood HS,16,3,0,19
Buice Center,0,0,1,1
Burnette ES,6,1,0,7
Cedar Hill ES,2,1,0,3
Centerville ES,0,0,3,3
Chattahoochee ES,14,1,1,16
Chesney ES,1,2,0,3
Coleman MS,1,1,1,3
Couch MS,1,0,0,1
Craig ES,0,1,0,1
Crews MS,24,4,0,28
Dacula ES,0,0,1,1
Dacula MS,2,0,0,2
Duluth HS,2,0,0,2
Duluth MS,2,0,1,3
Dyer ES,0,1,0,1
Ferguson ES,1,1,0,2
Fort Daniel ES,1,0,0,1
GIVE East,0,1,0,1
GIVE West,0,1,0,1
Graves ES,2,0,0,2
Grayson ES,5,2,1,8
Grayson HS,2,0,0,2
Gwin Oaks ES,1,0,0,1
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,1,0,0,1
Harris ES,4,2,0,6
Hopkins ES,4,0,0,4
Hull MS,0,1,0,1
Jackson ES,5,1,0,6
Jenkins ES,0,1,1,2
Jones MS,0,1,0,1
Jordan MS,1,0,0,1
Kanoheda ES,3,0,1,4
Knight ES,0,0,1,1
Level Creek ES,1,0,1,2
Lilburn ES,2,0,0,2
Magill ES,1,0,1,2
McClure Health Science HS,0,1,0,1
McConnell MS,7,2,0,9
McKendree ES,0,2,0,2
Meadowcreek HS,1,0,2,3
Mill Creek HS,1,3,0,4
Minor ES,2,1,2,5
Mountain Park ES,1,0,0,1
Mountain View HS,2,1,0,3
Nesbit ES,1,0,1,2
Norcross HS,0,1,0,1
North Gwinnett HS,5,1,2,8
North Gwinnett MS,1,1,0,2
Northbrook MS,1,0,0,1
Oakland Meadow School,10,0,1,11
Osborne MS,0,2,0,2
Parkview HS,1,2,1,4
Parsons ES,1,0,0,1
Peachtree Ridge HS,0,1,0,1
Pharr ES,2,0,0,2
Radloff MS,0,2,0,2
Richards MS,8,1,1,10
Roberts ES,32,3,0,35
Rock Springs ES,5,1,0,6
Rosebud ES,3,1,1,5
Shiloh HS,2,0,2,4
Simonton ES,1,0,0,1
Simpson ES,1,1,0,2
Snellville MS,0,0,1,1
Starling ES,0,0,1,1
Stripling ES,0,0,1,1
Sugar Hill ES,1,1,0,2
Taylor ES,1,1,0,2
Trickum MS,17,0,0,17
Trip ES,2,0,1,3
Twin Rivers MS,1,0,0,1
Walnut Grove ES,1,0,0,1
White Oak ES,2,0,0,2
