school,close_contact,positive_case,suspected_case,total,date,cluster
Alcova ES,0.0,3.0,5.0,8,11/10/2020,Dacula
Alford ES,1.0,0.0,1.0,2,11/10/2020,Discovery
Annistown ES,1.0,0.0,0.0,1,11/10/2020,Shiloh
Arcado ES,7.0,0.0,0.0,7,11/10/2020,Parkview
Archer HS,9.0,1.0,0.0,10,11/10/2020,Archer
Baggett ES,7.0,0.0,1.0,8,11/10/2020,Discovery
Benefield ES,17.0,1.0,0.0,18,11/10/2020,Discovery
Berkmar MS,1.0,0.0,0.0,1,11/10/2020,Berkmar
Brookwood ES,2.0,0.0,0.0,2,11/10/2020,Brookwood
Brookwood HS,1.0,0.0,0.0,1,11/10/2020,Brookwood
Burnette ES,0.0,1.0,0.0,1,11/10/2020,North Gwinnett
Central Gwinnett HS,2.0,0.0,0.0,2,11/10/2020,Central Gwinnett
Chattahoochee ES,1.0,0.0,0.0,1,11/10/2020,Duluth
Collins Hill HS,1.0,1.0,0.0,2,11/10/2020,Collins Hill
Cooper ES,14.0,1.0,1.0,16,11/10/2020,Archer
Corley ES,0.0,1.0,0.0,1,11/10/2020,Berkmar
Dacula HS,4.0,1.0,1.0,6,11/10/2020,Dacula
Dacula MS,27.0,1.0,2.0,30,11/10/2020,Dacula
Duluth HS,3.0,0.0,0.0,3,11/10/2020,Duluth
Duluth MS,2.0,0.0,1.0,3,11/10/2020,Duluth
Duncan Creek ES,1.0,0.0,1.0,2,11/10/2020,Mill Creek
Dyer ES,2.0,0.0,2.0,4,11/10/2020,Mountain View
Five Forks MS,1.0,0.0,0.0,1,11/10/2020,Brookwood
GIVE West,1.0,0.0,1.0,2,11/10/2020,Other
Grace Snell MS,5.0,1.0,0.0,6,11/10/2020,South Gwinnett
Graves ES,12.0,2.0,0.0,14,11/10/2020,Meadowcreek
Grayson ES,0.0,1.0,0.0,1,11/10/2020,Grayson
Grayson HS,2.0,1.0,0.0,3,11/10/2020,Grayson
Gwin Oaks ES,1.0,0.0,0.0,1,11/10/2020,Brookwood
"Gwinnett School of Mathematics, Science, and Technology",0.0,0.0,2.0,2,11/10/2020,Discovery
Harbins ES,4.0,0.0,1.0,5,11/10/2020,Archer
Ivy Creek ES,1.0,1.0,1.0,3,11/10/2020,Mill Creek
Jackson ES,9.0,1.0,0.0,10,11/10/2020,Peachtree Ridge
Jenkins ES,1.0,0.0,0.0,1,11/10/2020,Central Gwinnett
Jones MS,1.0,0.0,0.0,1,11/10/2020,Mill Creek
Kanoheda ES,11.0,1.0,4.0,16,11/10/2020,Berkmar
Knight ES,6.0,1.0,1.0,8,11/10/2020,Parkview
Lanier MS,17.0,5.0,0.0,22,11/10/2020,Lanier
Level Creek ES,6.0,0.0,0.0,6,11/10/2020,North Gwinnett
Lilburn ES,17.0,0.0,0.0,17,11/10/2020,Meadowcreek
Lovin ES,2.0,0.0,1.0,3,11/10/2020,Archer
Magill ES,1.0,0.0,0.0,1,11/10/2020,South Gwinnett
Maxwell HS of Technology,1.0,0.0,0.0,1,11/10/2020,Other
McConnell MS,1.0,0.0,0.0,1,11/10/2020,Archer Cluster
Meadowcreek HS,2.0,0.0,1.0,3,11/10/2020,Meadowcreek
Mill Creek HS,53.0,1.0,1.0,55,11/10/2020,Mill Creek
Mountain View HS,5.0,2.0,0.0,7,11/10/2020,Mountain View
Norcross HS,2.0,1.0,0.0,3,11/10/2020,Norcross
North Gwinnett HS,26.0,3.0,0.0,29,11/10/2020,North Gwinnett
North Gwinnett MS,3.0,0.0,0.0,3,11/10/2020,North Gwinnett
Norton ES,9.0,1.0,0.0,10,11/10/2020,South Gwinnett
Osborne MS,13.0,2.0,0.0,15,11/10/2020,Mill Creek
Parkview HS,1.0,0.0,1.0,2,11/10/2020,Parkview
Paul Duke STEM HS,0.0,1.0,0.0,1,11/10/2020,Norcross
Peachtree Ridge HS,2.0,0.0,0.0,2,11/10/2020,Peachtree Ridge
Puckett's Mill ES,6.0,0.0,0.0,6,11/10/2020,Mill Creek
Radloff MS,1.0,0.0,1.0,2,11/10/2020,Meadowcreek
Richards MS,3.0,0.0,0.0,3,11/10/2020,Discovery
Riverside ES,1.0,0.0,0.0,1,11/10/2020,North Gwinnett
Rockbridge ES,0.0,0.0,1.0,1,11/10/2020,Meadowcreek
Shiloh ES,2.0,0.0,0.0,2,11/10/2020,Shiloh
Shiloh HS,0.0,1.0,0.0,1,11/10/2020,Shiloh
Shiloh MS,41.0,0.0,0.0,41,11/10/2020,Shiloh
Simonton ES,0.0,0.0,1.0,1,11/10/2020,Central Gwinnett
Snellville MS,1.0,0.0,0.0,1,11/10/2020,South Gwinnett
South Gwinnett HS,1.0,0.0,1.0,2,11/10/2020,South Gwinnett
Stripling ES,2.0,0.0,0.0,2,11/10/2020,Norcross
Sycamore ES,1.0,0.0,0.0,1,11/10/2020,Lanier
Taylor ES,13.0,1.0,0.0,14,11/10/2020,Collins Hill
Trickum MS,2.0,1.0,0.0,3,11/10/2020,Parkview
Walnut Grove ES,4.0,0.0,1.0,5,11/10/2020,Collins Hill
White Oak ES,45.0,0.0,0.0,45,11/10/2020,Lanier
Alcova ES,2.0,0.0,0.0,2,12/10/2020,Dacula
Alford ES,4.0,0.0,0.0,4,12/10/2020,Discovery
Annistown ES,1.0,0.0,0.0,1,12/10/2020,Shiloh
Arcado ES,13.0,0.0,1.0,14,12/10/2020,Parkview
Archer HS,16.0,1.0,2.0,19,12/10/2020,Archer
Bay Creek MS,4.0,1.0,0.0,5,12/10/2020,Grayson
Beaver Ridge ES,0.0,1.0,0.0,1,12/10/2020,Norcross
Benefield ES,10.0,1.0,0.0,11,12/10/2020,Discovery
Berkeley Lake ES,2.0,0.0,0.0,2,12/10/2020,Duluth
Berkmar HS,10.0,1.0,0.0,11,12/10/2020,Berkmar
Berkmar MS,1.0,0.0,0.0,1,12/10/2020,Berkmar
Bethesda ES,3.0,0.0,0.0,3,12/10/2020,Berkmar
Brookwood ES,1.0,0.0,0.0,1,12/10/2020,Brookwood
Brookwood HS,7.0,1.0,0.0,8,12/10/2020,Brookwood
Burnette ES,1.0,0.0,0.0,1,12/10/2020,North Gwinnett
Camp Creek ES,3.0,0.0,0.0,3,12/10/2020,Parkview
Collins Hill HS,1.0,1.0,0.0,2,12/10/2020,Collins Hill
Cooper ES,4.0,0.0,0.0,4,12/10/2020,Archer
Corley ES,1.0,0.0,0.0,1,12/10/2020,Berkmar
Craig ES,2.0,0.0,0.0,2,12/10/2020,Brookwood
Creekland MS,0.0,1.0,0.0,1,12/10/2020,Collins Hill
Crews MS,1.0,0.0,0.0,1,12/10/2020,Brookwood
Dacula ES,0.0,1.0,2.0,3,12/10/2020,Dacula
Dacula HS,1.0,0.0,0.0,1,12/10/2020,Dacula
Dacula MS,2.0,0.0,0.0,2,12/10/2020,Dacula
Discovery HS,1.0,0.0,0.0,1,12/10/2020,Discovery
Duluth HS,3.0,3.0,0.0,6,12/10/2020,Duluth
Duluth MS,2.0,1.0,1.0,4,12/10/2020,Duluth
Duncan Creek ES,2.0,0.0,0.0,2,12/10/2020,Mill Creek
Dyer ES,10.0,0.0,2.0,12,12/10/2020,Mountain View
Ferguson ES,26.0,1.0,2.0,29,12/10/2020,Meadowcreek
Five Forks MS,1.0,0.0,0.0,1,12/10/2020,Brookwood
Fort Daniel ES,15.0,1.0,0.0,16,12/10/2020,Mill Creek
Freeman's Mill ES,2.0,0.0,1.0,3,12/10/2020,Mountain View
GIVE East,1.0,0.0,0.0,1,12/10/2020,Other
Graves ES,0.0,1.0,1.0,2,12/10/2020,Meadowcreek
Grayson ES,2.0,1.0,0.0,3,12/10/2020,Grayson
Grayson HS,12.0,4.0,0.0,16,12/10/2020,Grayson
Gwin Oaks ES,0.0,1.0,0.0,1,12/10/2020,Brookwood
Harbins ES,15.0,1.0,0.0,16,12/10/2020,Archer
Harmony ES,1.0,0.0,1.0,2,12/10/2020,Mill Creek
Harris ES,15.0,1.0,0.0,16,12/10/2020,Duluth
Hopkins ES,7.0,0.0,0.0,7,12/10/2020,Berkmar
Hull MS,4.0,0.0,1.0,5,12/10/2020,Peachtree Ridge
Ivy Creek ES,8.0,0.0,0.0,8,12/10/2020,Mill Creek
Jackson ES,1.0,0.0,0.0,1,12/10/2020,Peachtree Ridge
Jones MS,8.0,1.0,0.0,9,12/10/2020,Mill Creek
Knight ES,1.0,0.0,0.0,1,12/10/2020,Parkview
Lanier HS,11.0,1.0,1.0,13,12/10/2020,Lanier
Lanier MS,5.0,0.0,0.0,5,12/10/2020,Lanier
Level Creek ES,3.0,3.0,0.0,6,12/10/2020,North Gwinnett
Lovin ES,6.0,1.0,0.0,7,12/10/2020,Archer
Mason ES,3.0,0.0,1.0,4,12/10/2020,Peachtree Ridge
McConnell MS,6.0,1.0,0.0,7,12/10/2020,Archer Cluster
Meadowcreek ES,4.0,0.0,0.0,4,12/10/2020,Meadowcreek
Meadowcreek HS,2.0,1.0,1.0,4,12/10/2020,Meadowcreek
Mill Creek HS,6.0,0.0,0.0,6,12/10/2020,Mill Creek
Minor ES,3.0,0.0,0.0,3,12/10/2020,Berkmar
Mountain View HS,4.0,0.0,1.0,5,12/10/2020,Mountain View
Mulberry ES,5.0,0.0,1.0,6,12/10/2020,Dacula
Norcross ES,8.0,1.0,0.0,9,12/10/2020,Norcross
Norcross HS,4.0,0.0,0.0,4,12/10/2020,Norcross
North Gwinnett HS,11.0,0.0,0.0,11,12/10/2020,North Gwinnett
North Gwinnett MS,11.0,1.0,0.0,12,12/10/2020,North Gwinnett
Northbrook MS,0.0,0.0,1.0,1,12/10/2020,Peachtree Ridge
Norton ES,0.0,0.0,1.0,1,12/10/2020,South Gwinnett
Oakland Meadow School,0.0,1.0,1.0,2,12/10/2020,Other
Osborne MS,2.0,0.0,0.0,2,12/10/2020,Mill Creek
Parkview HS,1.0,1.0,1.0,3,12/10/2020,Parkview
Parsons ES,0.0,1.0,0.0,1,12/10/2020,Peachtree Ridge
Patrick ES,3.0,0.0,0.0,3,12/10/2020,Mountain View
Paul Duke STEM HS,2.0,0.0,1.0,3,12/10/2020,Norcross
Peachtree Ridge HS,3.0,0.0,1.0,4,12/10/2020,Peachtree Ridge
Pharr ES,9.0,0.0,0.0,9,12/10/2020,Grayson
Radloff MS,9.0,1.0,0.0,10,12/10/2020,Meadowcreek
Richards MS,14.0,0.0,2.0,16,12/10/2020,Discovery
Riverside ES,1.0,0.0,1.0,2,12/10/2020,North Gwinnett
Roberts ES,2.0,0.0,0.0,2,12/10/2020,North Gwinnett
Rock Springs ES,1.0,0.0,0.0,1,12/10/2020,Collins Hill
